id,title,price,img_src,provider,link,feature,color
135,운동녀 운동용 헬스장 Y존 와이존레깅스 운동할때 입는옷,23000,https://shopping-phinf.pstatic.net/main_8222784/82227847720.jpg,메이 가게,https://smartstore.naver.com/wenqingmei/products/4683327002?NaPm=ct%3Dkb3lxltc%7Cci%3D9379e4288021a735c317396e690100511d5cff2f%7Ctr%3Dslsl%7Csn%3D856746%7Chk%3D287d6b39f312538be6ee4c7b1777ef03ab6fe28f,yzone,blue
136,1+1 여자 힙업 와이존 패션 핑크색 요가 레깅스 4컬러,38500,https://shopping-phinf.pstatic.net/main_8248833/82488338328.jpg,R찬몰,https://smartstore.naver.com/rchanmall/products/4943814008?NaPm=ct%3Dkb3lxsrc%7Cci%3Dd6156c1f76ba24999a44854a0e473b74f9972f35%7Ctr%3Dslsl%7Csn%3D1318192%7Chk%3Da4deedf485592b3805a2b1216d9365e22b75884f,yzone,blue
137,요가복장 골프스타킹 단색 레깅스 에어로빅타이즈 와이존,23400,https://shopping-phinf.pstatic.net/main_8222347/82223474824.1.jpg,티에스스토어,https://smartstore.naver.com/tsstore/products/4678954106?NaPm=ct%3Dkb3lx2iw%7Cci%3D9cc7679a9b5af5f24f1c984254a04f1b17ed60f4%7Ctr%3Dslsl%7Csn%3D609987%7Chk%3D89f6e6230f882c372cf9968b1876d1d5d99fa1ef,yzone,blue
138,레깅스와이존 요가복 Y존 뱃살 운동용 여자 조깅복 런닝복 레깅스,21680,https://shopping-phinf.pstatic.net/main_8225022/82250226844.1.jpg,차드몰,https://smartstore.naver.com/worthit/products/4705705986?NaPm=ct%3Dkb3lxa8o%7Cci%3D67fb28e8dc85127e27e364cb18fe368bfd10034c%7Ctr%3Dslsl%7Csn%3D978599%7Chk%3Da83b37845862cbb36d099c81a790793deb71f3bb,yzone,blue
